review_id,username,rating,date,content
3a17e409-3930-45e5-807b-92c00c94885b,Rdani Hidayat,1,2024-12-12 21:00:03,"Makin di update makin jelek, banyak fitur bagus dihilangkan, seperti salin text, fitur blok bagian text yang diinginkan buat disalin dihilangkan, belum lagi terkadang aplikasi tidak dapat mendeteksi jaringan internet yg berujung tidak bisa digunakan, intinya ya makin update makin jelek ini aplikasi jauh bagusan yang lama, sekarang sudah banyak penggantinya"
f20e5384-0688-4a72-b243-2d0eb709b7b2,Trafalgar D Water Law,5,2020-12-29 17:34:13,"Banyak membantu langsung mengenali apa yang mau dicari, tinggal jepret aja (bisa langsung atau ambil dari galeri). Trs ada pilihan lainnya, misalnya mau lokasi, tempat makan, bahkan teks. Pokoknya keren banget, hanya saja untuk identifikasi orang belum akomodir sepenuhnya (klw orang terkenal sudah akomodir), misalnya saya acak ambil foto orang dari IG, tp pas di search gak ketemu. Itu saja yang perlu ditingkatkan pihak Dev. nya.... Dari Saya tks bnget pokokny, banyak membantu..."
6e0f2d38-ceb5-4ba1-a6b4-11f60468b656,HERMAWAN. PS,5,2021-11-20 07:53:02,"Bisa menterjemahkan foto (langsung dari kamera) atau gambar (dari galeri foto) mendeteksi link QR code.. sangat bermanfaat.. walau hasil terjemahan masih khas google translate yg bahasa Inggris - Indonesia saja masih perlu sedikit menyesuaikan artinya, namun sudah meringankan dari pada mikir semua tulisan artinya apa.. 😋"
51d8da31-e2f8-45a8-852f-e39fd89da951,Irlangga Marlan,2,2023-12-25 23:41:44,"Update sekrang sangat tidak memuaskan. Banyak fitur yang hilang, salah satunya seperti fitur ""TEKS"" Fitur yang sangat membantu seperti itu malah dihilangkan sangat disayangkan sekali. Untuk pihak Google tolong ditambah lagi fitur ""TEKS""nya agar mudah menyalin teks yang ada digambar."
a8d87b61-6c64-48c0-b1a3-2f40d98985d8,Agus Surya,4,2025-03-12 16:27:20,"Selalu mengandalkan aplikasi google lens untuk menganalisa obyek apapun sebagai sumber rujukan sumber data pembanding, hasilnya sepanjang menggunakannya google lens bisa diandalkan untuk berbagai macam segi kebutuhan, meski banyak aplikasi baru bermunculan selalu yakin google masih lebih baik, dan harapannya terus berinovasi. Tanks"
289c1d49-97d8-4a67-9632-a1dd1734e642,Tumbur Pardede,5,2025-04-02 20:58:19,aplikasi yang sangat berguna. sangat membantu untuk menelusuri hal hal yang sulit atau tidak kita ketahui hanya dengan foto dan gambar. memberikan deskripsi yang jelas dan mudah dipahami dengan menampilkan Wikipedia.
81e3dcf3-5123-402c-86a1-9e6f3b1d0f8e,Totokadi Dwicandra,5,2022-06-17 08:11:37,Saya seorang tunanetra. Dengan adanya aplikasi ini saya merasa sangat terbantu. Semoga aplikasi ini lebih ditingkatkan lagi. Agar lebih aksesibel untuk tunanetra. Seperti pemotretan gambar dan atau membaca teks di dalam gambar masih kurang terlalu jelas. Bagi tuna netra
aa9d1bb7-767c-4341-8e23-dc588b53a3b8,Pengguna Google,4,2018-12-01 11:35:11,"Overall-nya bagus. Tetapi ada barang yang tidak menampilkan informasi yang lebih detail/spesifik ketika di scan oleh Google Lens, contohnya smartphone Samsung. Lalu tambahkan fitur seperti harga pada barang yang di-scan tersebut, dan jangan lupa tambahkan sinkronisasi ke E-Commerce(seperti Bukalapak, Tokopedia, Lazada, Shopee) di Indonesia agar lebih mudah untuk diarahkan ke halaman tempat jual barang tersebut dan agar lebih mudah membandingkan tempat mana yang menjual barang tersebut lebih murah. Sekian dan Terima Kasih."
cf6dadfe-e43f-4d7b-8ba5-761f6e314a08,mmt rofingun,4,2024-04-15 09:13:35,"Lebih suka Google Lens versi sebelumnya. Versi kali ini begitu Lens sudah meng-capture gambar/tulisan langsung direkomendasikan hanya gambar. Kalau versi sebelumnya begitu meng-capture gambar/tulisan, langsung diberi beberapa opsi, yaitu copy, translate atau gambar yang sepadan. Sehingga lebih mudah dipakai selanjutnya"
47f47b10-80a1-430b-8a46-ef35be440803,Rudianto Surdjo (Mang Ato),5,2024-09-13 09:05:11,"Lebih banyak sesuainya daripada tidak asalkan gambarnya spesifik, kalau gambarnya agak umum dan banyak kemiripan antara satu produk dgn produk yang lainnya jadi banyak juga yang ditampilkan padahal gak sama persis, overall sangat membantu 👍👍"
